epoch;accuracy;loss;val_accuracy;val_loss
0;0.9664645195007324;0.2721070647239685;0.9903196096420288;0.059744350612163544
1;0.9880427122116089;0.046427980065345764;0.9896887540817261;0.039551082998514175
2;0.9879070520401001;0.03460129350423813;0.9902374744415283;0.0360383503139019
3;0.9880620241165161;0.02967810444533825;0.9903196096420288;0.04131219536066055
4;0.9879465699195862;0.030509954318404198;0.9909737706184387;0.03301709145307541
5;0.9876384139060974;0.027397364377975464;0.9902483224868774;0.031086226925253868
6;0.9878964424133301;0.024509480223059654;0.9903196096420288;0.02692745067179203
7;0.9878599643707275;0.024325067177414894;0.9903878569602966;0.03211650624871254
8;0.9879892468452454;0.02138839103281498;0.9901816844940186;0.029834620654582977
9;0.987810492515564;0.020346295088529587;0.9903196096420288;0.023320036008954048
10;0.987850546836853;0.017142020165920258;0.9902359247207642;0.019944902509450912
11;0.9879421591758728;0.016581865027546883;0.9900034070014954;0.02826571837067604
12;0.9878795742988586;0.016420962288975716;0.9903196096420288;0.025306617841124535
13;0.9880586266517639;0.01567179150879383;0.9894221425056458;0.019938064739108086
14;0.9875863194465637;0.015165009535849094;0.9907737970352173;0.021426813676953316
15;0.9878808259963989;0.015128424391150475;0.9903196096420288;0.020646465942263603
16;0.9877966642379761;0.01387360505759716;0.9901398420333862;0.013828539289534092
17;0.9879113435745239;0.013879449106752872;0.9899367690086365;0.01875372789800167
18;0.9876595139503479;0.013448205776512623;0.9903196096420288;0.014126094058156013
19;0.9882079362869263;0.015373793430626392;0.9902746677398682;0.0195141714066267
0;0.008183648809790611;0.6968337893486023;0.008725508116185665;0.6918759942054749
1;0.007910017855465412;0.6912675499916077;0.00935174897313118;0.6906095743179321
2;0.007904907688498497;0.6899912357330322;0.00879526324570179;0.689338743686676
3;0.00791955180466175;0.688727617263794;0.008725508116185665;0.6880714893341064
4;0.007877558469772339;0.6874730587005615;0.00805586576461792;0.6867983341217041
5;0.008168869651854038;0.6862077713012695;0.00880301371216774;0.6855471134185791
6;0.007952009327709675;0.6849507093429565;0.008725508116185665;0.6842858791351318
7;0.008022592402994633;0.6837023496627808;0.008686755783855915;0.6830282807350159
8;0.007964440621435642;0.6824386119842529;0.008861917071044445;0.68177729845047
9;0.007923537865281105;0.6811937093734741;0.008725508116185665;0.6805222630500793
10;0.008009332232177258;0.6799503564834595;0.008847965858876705;0.6792750358581543
11;0.007987231016159058;0.678693950176239;0.009012277238070965;0.678033709526062
12;0.008043034933507442;0.6774433851242065;0.008725508116185665;0.6767785549163818
13;0.007811218965798616;0.6761940717697144;0.009599764831364155;0.6755674481391907
14;0.008260447531938553;0.6749815344810486;0.008282179944217205;0.6742779612541199
15;0.007949799299240112;0.6737233996391296;0.008725508116185665;0.673056960105896
16;0.008104187436401844;0.6724996566772461;0.008914620615541935;0.671829342842102
17;0.007908222265541553;0.6712643504142761;0.00908048078417778;0.6706040501594543
18;0.008155056275427341;0.6700391173362732;0.008725508116185665;0.669357180595398
19;0.007717548403888941;0.668795108795166;0.008768911473453045;0.6681292057037354
